Epoch,Mean_Loss,Std_Dev
100,0.2984683016113681,0.012189507058177982
200,0.4208765779356264,0.03327649526336776
300,0.34689362081494063,0.016849143735423185
400,0.2808045800839447,0.026196418544983068
500,0.33231455532334797,0.009851185676966938
600,0.2897789698467404,0.023671822367044265
700,0.2743217711978124,0.04532748690419769
800,0.3184966253790777,0.026068104142863313
900,0.30223357297915754,0.030255165502420755
1000,0.2253583670011478,0.0250091501282832
1100,0.26606190069995794,0.022839350412634876
1200,0.2578330529565082,0.028531872660226214
1300,0.20066662849959432,0.04118964456880978
1400,0.2554820202455256,0.0426195968185507
1500,0.272684376495667,0.025217552328109193
1600,0.18387279808846746,0.03375600409372897
1700,0.20617660244961283,0.02162446433431505
1800,0.22643592746523744,0.016789564917372556
1900,0.15939018983647332,0.03115853082610886
2000,0.2148586366870071,0.038659776220011384
2100,0.247424093235486,0.02291450029804153
2200,0.1477188487812418,0.03995652780373658
2300,0.16973865004577823,0.02975815402814811
2400,0.20537612659436927,0.02054312967794603
2500,0.13962468607202586,0.017800624483779386
2600,0.15933027211317036,0.0328037613918124
2700,0.21302228526303724,0.01796708020089892
2800,0.13854929848325165,0.02808831926048156
2900,0.12721646596667394,0.011207686209330747
3000,0.17265459054925103,0.018195338363950132
